Id_item,Id_location,Item,Price,Image
1,1,Combo Cơm Tấm Sườn nướng Ốp La + 1 Coca-Cola,46.750đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu78kwbjnwgv59@resize_ss120x120!@crop_w120_h120_cT
2,1,Combo Cơm Tấm Gà Kho Sả + Trứng Ốp La + 1 Coca-Cola,46.750đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu78kwwwsmxr41@resize_ss120x120!@crop_w120_h120_cT
3,1,01 Coca-Cola chai,13.500đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu7901stf4tbfc@resize_ss120x120!@crop_w120_h120_cT
4,1,Combo Cơm Tấm Gà Kho Sả + Trứng Ốp La + 1 Coca-Cola,46.750đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu78kwbjnwgv59@resize_ss120x120!@crop_w120_h120_cT
5,1,01 Coca-Cola chai,13.500đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu78kwwwsmxr41@resize_ss120x120!@crop_w120_h120_cT
6,1,Coca-Cola chỉ 1Đ,1đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu7901stf4tbfc@resize_ss120x120!@crop_w120_h120_cT
7,1,Cơm Tấm Sườn Nướng,30.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lu79e2num68v34@resize_ss120x120!@crop_w120_h120_cT
8,1,Cơm Tấm Sườn Nướng + Ốp La,35.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr5r196wwm9w45@resize_ss120x120!@crop_w120_h120_cT
9,1,Cơm Tấm Gà Chiên Mắm,30.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxactf87sm16e@resize_ss120x120!@crop_w120_h120_cT
10,1,Cơm Tấm Sườn Xào Chua Ngọt,30.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxms0i75pqx22@resize_ss120x120!@crop_w120_h120_cT
11,1,Cơm Tấm Gà Kho Sả,30.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxah3t4ahtwaa@resize_ss120x120!@crop_w120_h120_cT
