Id,Title,Address,Image,Connect_links
1,Cơm Tấm Thanh Trường - Lương Nhữ Hộc,"139 Lương Nhữ Hộc, Quận Cẩm Lệ, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsty4hwi2z7od8@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/com-tam-thanh-truong-luong-nhu-hoc
2,MƠ - Homemade Pasta & Dessert,"150 Đ. 2 Tháng 9, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu8hqhd5pdw74@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/mo-homemade-pasta-dessert
3,Pizza Family,"41 Cô Giang, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lstq1t3jxt50ed@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/pizza-family
4,The IChi - Coffee & Trà Sữa - Lê Văn Hiến,"596 Lê Văn Hiến, P. Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsvecao728wp79@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/the-ichi-coffee-tra-sua-le-van-hien.hpcusv
5,Ghé' Kitchen Fast Food,"111/25 Đường 2 Tháng 9, P. Hoà Cường Nam, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsua92vm2pqc8c@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/ghe-kitchen-fast-food
6,Tiệm Cà Phê Mochi - Cà Phê Muối & Trà Sữa Ô Long,"Lô 10 A4 Nguyễn Sinh Sắc, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsva47tsu11g5e@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/tiem-ca-phe-mochi-ca-phe-muoi-tra-sua-o-long
7,Tiệm Nhà T - Cà Phê Muối & Trà Sữa - Trần Cao Vân,"435/85 Trần Cao Vân, P. Xuân Hà, Quận Thanh Khê, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv9b5j5yl5l1c@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/tiem-nha-t-ca-phe-muoi-tra-sua-tran-cao-van
8,"TORU Japanese Restaurant - Sushi, Sashimi & Lẩu Giấy Kami - 205 Đống Đa","205 Đống Đa, P. Thanh Bình, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsvbsyfb0hqc0b@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/toru-japanese-restaurant-sushi-sashimi-lau-giay-kami-205-dong-da
9,Sakura Restaurant,"20 An Thượng 10, P. Mỹ An , Quận Ngũ Hành Sơn, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv2j7ojkcrd39@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/sakura-restaurant
10,Mì Cay So Hot,"32 Nguyễn Huy Tưởng, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu946gis68p34@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/mi-cay-so-hot
11,Mì Quảng Giao Thủy - Ba Đình,"1B Ba Đình, P. Thạch Thang, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lstsdpr5kpspf9@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/mi-quang-giao-thuy-ba-dinh
12,Cơm Huế & Xôi Huế 171 - Tố Hữu,"171 Tố Hữu, Quận Cẩm Lệ, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu1mwx63mvt90@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/com-hue-171-to-huu
13,Tré Trộn - Đặc Sản Huế An Food,"455 Đường 29 Tháng 3, P. Hoà Xuân, Quận Cẩm Lệ, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv6y2ka8tcp7f@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/tre-tron-dac-san-hue-an-food
14,Cơm Gà Đất Quảng,"91 Hà Tông Quyền, Quận Cẩm Lệ, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu3rzy96hspc3@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/com-ga-dat-quang
15,Bê Thui Thọ - Ngô Quyền,"385 Ngô Quyền, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv8q1lg1aro6e@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/be-thui-tho-ngo-quyen
16,PIKACHU CHÁO ẾCH XÔI ẾCH MÌ QUẢNG HỦ TIẾU,"133 Nguyễn Đức Trung, P. Hòa Khê, Quận Thanh Khê, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu8yhvi5zfd2f@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/pikachu-chao-ech-xoi-ech-mi-quang-hu-tieu
17,Cô Nhung - Nước Ép Trái Cây,"Khu Ăn Uống Chợ Bắc Mỹ An, Nguyễn Bá Lân, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu7mq7monuscc@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/co-nhung-nuoc-ep-trai-cay
18,Cao Lầu Hoài Phố,"255 Nguyễn Chí Thanh, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lstq4vaqob7o63@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/cao-lau-hoai-pho
19,Quán Nướng 134,"134B Dũng Sĩ Thanh Khê, P. Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv286l0a2tg31@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/quan-nuong-134
20,Pokeman - Poke Bowls & Healthy Drinks,"K72/24 Nguyễn Văn Thoại, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsu99h1nvq1l4d@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/pokeman-poke-bowls-healthy-drinks
21,Maguro Sushi - Ẩm Thực Nhật Bản,"51X Nguyễn Chí Thanh, P. Thạch Thang, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lstzw42unbnod5@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/maguro-sushi-am-thuc-nhat-ban
22,Bé - Cơm Hến - Lê Đình Lý,"119 Lê Đình Lý, P. Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsvfml2iholgfe@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/be-com-hen-le-dinh-ly.q3aosg
23,Cơm Gà Ngũ Vị - Châu Thị Vĩnh Tế,"95 Châu Thị Vĩnh Tế, Quận Ngũ Hành Sơn, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv0r7rqmpi1f7@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/com-ga-ngu-vi-chau-thi-vinh-te
24,3 BiG - Nướng & Lẩu,"134 Phan Châu Trinh, P. Phước Ninh, Quận Hải Châu, Đà Nẵng",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv9dsvyf45g80@resize_ss640x400!@crop_w640_h400_cT,https://shopeefood.vn/da-nang/3-big-nuong-lau
